Municipio; %Paro; Poblacion 
acebeda-la;17,49%;66
ajalvir;7,54%;4.455
alameda-del-valle;8,86%;199
alamo-el;14,80%;9.149
alcala-de-henares;12,38%;194.310
alcobendas;8,16%;114.864
alcorcon;11,74%;168.141
aldea-del-fresno;18,65%;2.616
algete;8,72%;20.419
alpedrete;8,69%;14.240
ambite;19,64%;677
anchuelo;9,99%;1.238
aranjuez;13,96%;58.213
arganda-del-rey;14,72%;53.821
arroyomolinos;8,94%;29.128
atazar-el;14,69%;97
batres;11,55%;1.610
becerril-de-la-sierra;11,23%;5.457
belmonte-de-tajo;9,85%;1.628
berzosa-del-lozoya;13,49%;203
berrueco-el;13,50%;743
boadilla-del-monte;5,48%;51.463
boalo-el;10,51%;7.358
braojos;9,81%;208
brea-de-tajo;22,29%;539
brunete;8,95%;10.373
buitrago-del-lozoya;9,84%;1.854
bustarviejo;13,93%;2.399
cabanillas-de-la-sierra;8,86%;712
cabrera-la;10,35%;2.570
cadalso-de-los-vidrios;22,91%;3.053
camarma-de-esteruelas;11,76%;7.084
campo-real;13,90%;5.995
canencia;13,21%;448
carabana;15,01%;1.940
casarrubuelos;11,52%;3.650
cenicientos;23,36%;1.984
cercedilla;10,08%;6.853
cervera-de-buitrago;11,45%;156
ciempozuelos;12,07%;23.737
cobena;6,84%;7.163
colmenar-del-arroyo;14,92%;1.632
colmenar-de-oreja;15,69%;7.810
colmenarejo;10,38%;9.015
colmenar-viejo;10,02%;48.614
collado-mediano;11,92%;6.666
collado-villalba;11,99%;62.152
corpa;12,87%;684
coslada;10,40%;83.011
cubas-de-la-sagra;8,69%;6.112
chapineria;15,45%;2.225
chinchon;13,00%;5.240
daganzo-de-arriba;8,84%;10.082
escorial-el;9,22%;15.562
estremera;13,43%;1.261
fresnedillas-de-la-oliva;16,39%;1.550
fresno-de-torote;12,77%;2.115
fuenlabrada;12,29%;194.669
fuente-el-saz-de-jarama;11,00%;6.424
fuentiduena-de-tajo;17,81%;1.980
galapagar;9,71%;32.903
garganta-de-los-montes;10,10%;331
gargantilla-del-lozoya-y-pinilla-de-buitrago;7,72%;315
gascones;11,45%;176
getafe;11,55%;178.288
grinon;8,28%;10.060
guadalix-de-la-sierra;14,09%;6.049
guadarrama;9,30%;15.620
hiruela-la;3,82%;52
horcajo-de-la-sierra-aoslos;7,24%;142
horcajuelo-de-la-sierra;2,33%;88
hoyo-de-manzanares;7,76%;8.032
humanes-de-madrid;13,45%;19.607
leganes;12,55%;187.720
loeches;11,72%;8.525
lozoya;9,64%;559
madarcos;4,50%;46
madrid;10,46%;3.182.981
majadahonda;6,16%;71.299
manzanares-el-real;10,80%;8.500
meco;10,91%;13.570
mejorada-del-campo;12,12%;22.948
miraflores-de-la-sierra;13,10%;5.817
molar-el;10,86%;8.491
molinos-los;11,17%;4.345
montejo-de-la-sierra;6,41%;356
moraleja-de-enmedio;10,50%;4.870
moralzarzal;8,67%;12.496
morata-de-tajuna;15,34%;7.482
mostoles;12,43%;206.589
navacerrada;7,34%;2.894
navalafuente;15,79%;1.340
navalagamella;14,16%;2.443
navalcarnero;13,19%;27.570
navarredonda-y-san-mames;5,42%;131
navas-del-rey;18,59%;2.751
nuevo-baztan;11,00%;6.091
olmeda-de-las-fuentes;9,08%;332
orusco-de-tajuna;17,70%;1.218
